frc_time	Pair	Uwind	Vwind	Tair	Qair	rain	swrad	cloud	SST
8.083333015	1007.5	-3.348467827	-3.006287336	28.89999962	80	0	0	0.116666667	29
8.125	1007	-3.125236511	-2.805868149	28.79999924	80	0	0	0.100000001	29
8.166666985	1006.700012	-3.274057388	-2.93948102	28.79999924	82	0	0	0.13333334	29
8.208333015	1006.700012	-1.964930534	-4.04833889	28.70000076	82	0	0	0.166666672	29
8.25	1006.799988	-3.571698904	-3.206706524	28.79999924	81	0	2.777777672	0.200000003	29
8.291666985	1007.099976	-2.270586491	-4.678080559	28.89999962	81	0	41.66666794	0.400000006	29
8.333333015	1007.5	-4.911086082	-4.409221649	30	76	0	180.5555573	0.600000024	29
8.375	1007.799988	-5.804010868	-5.210897923	30.79999924	74	0	336.1111145	0.800000012	29
8.416666985	1007.599976	-6.3992939	-5.745349407	31.79999924	68	0	563.888916	0.800000012	29
8.458333015	1007.5	-6.3992939	-5.745349407	32.70000076	67	0	658.333313	0.800000012	29
8.5	1007.200012	-6.250473022	-5.611736298	32.5	66	0	663.888916	0.800000012	29
8.541666985	1006.400024	-6.3992939	-5.745349407	33.09999847	58	0	891.666687	0.633333325	29
8.583333015	1006.200012	-6.250473022	-5.611736298	31.5	67	0	838.888916	0.466666669	29
8.625	1005.400024	-5.72960043	-5.144091606	32.70000076	63	0	769.444458	0.300000012	29
8.666666985	1005.400024	-5.952831745	-5.344511032	27.5	85	0	502.777771	0.333333343	29
8.708333015	1005.400024	-5.431958675	-4.876866341	30	80	0	269.444458	0.366666675	29
8.75	1005.400024	-4.911086082	-4.409221649	30	77	0	291.6666565	0.400000006	29
8.791666985	1005.900024	-5.365508556	-1.923880577	29.20000076	80	0	69.44444275	0.366666675	29
8.833333015	1006.599976	-4.464623451	-4.008383274	29.20000076	83	0	13.88888931	0.333333343	29
8.875	1007.200012	-5.134317398	-4.609640598	29.39999962	81	0	0	0.300000012	29
8.916666985	1007.299988	-5.271377087	-1.890128255	29.29999924	79	0	0	0.316666663	29
8.958333015	1006.900024	-3.720519781	-3.340319395	29.10000038	82	0	0	0.333333343	29
9	1006.599976	-3.19964695	-2.872674704	28.60000038	82	0	0	0.349999994	29
9.041666985	1006.5	-3.125236511	-2.805868149	28.5	84	0	0	0.366666675	29
9.083333015	1005.799988	-3.497288465	-3.139900208	28.5	85	0	0	0.383333325	29
9.125	1005.400024	-3.86934042	-3.473932028	28.70000076	79	0	0	0.400000006	29
9.166666985	1005.200012	-4.018161297	-3.607544899	28.10000038	80	0	0	0.400000006	29
9.208333015	1005.299988	-4.836675644	-4.342415333	27.89999962	82	0	0	0.400000006	29
9.25	1005.200012	-1.702939749	-3.508560419	26.89999962	83	0	2.777777672	0.400000006	29
9.291666985	1005.5	-3.348467827	-3.006287336	27.89999962	81	0	50	0.400000006	29
9.333333015	1005.700012	-4.687854767	-4.208802223	29.5	76	0	186.1111145	0.400000006	29
9.375	1005.799988	-5.506369114	-4.943672657	30.39999962	70	0	419.444458	0.400000006	29
9.416666985	1005.900024	-5.580779552	-5.010478973	31.20000076	66	0	622.222229	0.466666669	29
9.458333015	1005.799988	-6.027241707	-5.411317348	32.20000076	63	0	788.888916	0.533333361	29
9.5	1005.599976	-6.473704338	-5.812155724	32.09999847	61	0	811.111084	0.600000024	29
9.541666985	1004.900024	-3.973526239	-8.186640739	32.5	62	0	891.666687	0.666666687	29
9.583333015	1004.5	-7.143397808	-6.413413048	32.20000076	64	0	902.777771	0.733333349	29
9.625	1003.799988	-4.279181957	-8.816382408	32.5	63	0	816.666687	0.800000012	29
9.666666985	1003.200012	-4.148186684	-8.54649353	32.20000076	63	0	683.333313	0.600000024	29
9.708333015	1003.5	-5.878421307	-5.277704716	31.10000038	68	0	408.3333435	0.400000006	29
9.75	1003.299988	-3.624205112	-7.466936111	30.5	71	0	269.444458	0.200000003	29
9.791666985	1003.400024	-2.401581764	-4.947969913	29.70000076	74	0	80.55555725	0.266666681	29
9.833333015	1003.5	-3.056558609	-6.29741621	29.5	77	0	11.11111069	0.333333343	29
9.875	1004	-4.762265205	-4.27560854	29.29999924	79	0	0	0.400000006	29
9.916666985	1004.400024	-2.139590979	-4.408191204	28.10000038	85	0	0	0.433333337	29
9.958333015	1004.200012	-2.052260876	-4.228265285	28.39999962	85	0	0	0.466666669	29
10	1004	-2.532577038	-5.217859268	28.39999962	82	0	0	0.5	29
10.04166698	1003.700012	-2.445246935	-5.037932873	28.10000038	81	0	0	0.533333361	29
10.08333302	1003	-4.985496521	-4.476027966	27.5	84	0	0	0.566666663	29
10.125	1002.599976	-4.836675644	-4.342415333	27.60000038	83	0	0	0.600000024	29
10.16666698	1002.099976	-2.619907379	-5.397785187	28	81	0	0	0.566666663	29
10.20833302	1002.099976	-2.925563335	-6.027526855	28.5	80	0	0	0.533333361	29
10.25	1002.700012	-2.881898165	-5.937563896	28.60000038	80	0	2.777777672	0.5	29
10.29166698	1002.700012	-3.14388895	-6.477342129	28.70000076	79	0	38.88888931	0.566666663	29
10.33333302	1003	-3.493209839	-7.197046757	29.39999962	76	0	169.4444427	0.633333325	29
10.375	1003.400024	-3.886195898	-8.006714821	30.20000076	70	0	327.777771	0.699999988	29
10.41666698	1003.599976	-6.994576931	-6.279800415	30.89999962	67	0	558.333313	0.566666663	29
10.45833302	1003.599976	-4.060856342	-8.366566658	32	62	0	763.888916	0.433333337	29
