Title=free-surface from YAEYAMA2 Test Case					
					
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"					
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)				
594226816	0.859014
594230400	0.619751
594233984	0.322891
594237568	0.027813
594241216	-0.20069
594244800	-0.31887
594248384	-0.31264
594252032	-0.19171
594255616	0.012527
594259200	0.249787
594262784	0.463265
594266368	0.622432
594270016	0.70306	
594273600	0.698449
594277184	0.621872
594280832	0.502396
594284416	0.389233
594288000	0.319604
594291584	0.321838
594295168	0.399846
594298816	0.532868
594302400	0.680971
594305984	0.804991
594309632	0.876805
594313216	0.873027
594316800	0.776137
594320384	0.598514
594323968	0.359889
594327616	0.11144	
594331200	-0.09483
594334784	-0.22188
594338432	-0.25204
594342016	-0.18298
594345600	-0.03584
594349184	0.16303	
594352768	0.36701	
594356416	0.544179
594360000	0.652064
594363584	0.67905	
594367232	0.629049
594370816	0.524298
594374400	0.40743	
594377984	0.311791
594381568	0.273545
594385216	0.305905
594388800	0.399617
594392384	0.538559
594396032	0.682251
594399616	0.795755
594403200	0.862892
594406784	0.839857
594410368	0.725355
594414016	0.535327
594417600	0.30827	
594421184	0.087069
594424832	-0.07625
594428416	-0.15066
594432000	-0.12905
594435584	-0.00855
594439168	0.181045
594442816	0.402369
594446400	0.603799
594449984	0.75036	
594453632	0.809977
594457216	0.769469
594460800	0.651178
594464384	0.491402
594467968	0.338081
594471616	0.23797	
594475200	0.217806
594478784	0.286817
594482432	0.426784
594486016	0.603245
594489600	0.769639
594493184	0.890336
594496768	0.915341
594500416	0.839008
594504000	0.671582
594507584	0.443729
594511232	0.202712
594514816	0.008965
594518400	-0.09035
594521984	-0.07987
594525568	0.042724
594529216	0.250616
594532800	0.49461	
594536384	0.723742
594540032	0.883235
594543616	0.928831
594547200	0.857365
594550784	0.69007	
594554368	0.463771
594558016	0.242646
594561600	0.084945
594565184	0.035289
594568832	0.106105
594572416	0.28153	
594576000	0.525635
594579584	0.759648
594583168	0.924992
594586816	0.990288
594590400	0.928746
594593984	0.741743
594597632	0.467804
594601216	0.18334	
594604800	-0.04640
594608384	-0.16106
594611968	-0.12474
594615616	0.046598
594619200	0.309988
594622784	0.609842
594626432	0.871573
594630016	1.031036
594633600	1.064999
594637184	0.936302
594640768	0.691632
594644416	0.392231
594648000	0.111638
594651584	-0.07764
594655232	-0.12497
594658816	-0.01733
594662400	0.218666
594665984	0.515556
594669568	0.80603	
594673216	1.010948
594676800	1.085486
594680384	0.995438
594684032	0.766676
594687616	0.460422
594691200	0.149303
594694784	-0.08707
594698368	-0.18085
594702016	-0.11366
594705600	0.100232
594709184	0.413613
594712832	0.74886	
594716416	1.012231
594720000	1.158956
594723584	1.129891
594727168	0.934072
594730816	0.617306
594734400	0.259165
594737984	-0.05139
594741632	-0.23668
594745216	-0.24698
594748800	-0.08146
594752384	0.224734
594755968	0.584092
594759616	0.911536
594763200	1.123601
594766784	1.171151
594770432	1.039596
594774016	0.761565
594777600	0.415944
594781184	0.087637
594784768	-0.13487
594788416	-0.19325
594792000	-0.07442
594795584	0.194347
594799232	0.546355
594802816	0.886594
594806400	1.124408
594809984	1.205856
594813568	1.095284
594817216	0.813474
594820800	0.425538
594824384	0.029791
594828032	-0.28101
594831616	-0.43053
594835200	-0.37588
594838784	-0.14220
594842368	0.220405
594846016	0.616953
594849600	0.950353
594853184	1.144731
594856832	1.154138
594860416	0.980978
594864000	0.676967
594867584	0.33537	
594871168	0.039769
594874816	-0.13103
594878400	-0.12495
594881984	0.060206
594885632	0.381204
594889216	0.745436
594892800	1.058162
594896384	1.236697
594899968	1.227438
594903616	1.020886
594907200	0.667156
594910784	0.240122
594914432	-0.15230
594918016	-0.42394
594921600	-0.50478
594925184	-0.38221
594928768	-0.08394
594932416	0.314635
594936000	0.712495
594939584	1.007217
594943232	1.145817
594946816	1.102377
594950400	0.890378
594953984	0.576894
594957568	0.256083
594961216	0.013482
594964800	-0.08099
594968384	0.006779
594972032	0.263519
594975616	0.599591
594979200	0.937624
594982784	1.191514
594986368	1.286709
594990016	1.178289
594993600	0.888313
594997184	0.485831
595000832	0.059929
595004416	-0.29787
595008000	-0.50401
595011584	-0.51271
595015168	-0.31863
595018816	0.014933
595022400	0.407851
595025984	0.767212
595029632	1.002387
595033216	1.068728
595036800	0.957908
595040384	0.71657	
595043968	0.421687
595047616	0.153204
595051200	-0.01064
595054784	-0.01811
595058432	0.148668
595062016	0.438566
595065600	0.765351
595069184	1.048416
595072768	1.215704
595076416	1.21227	
595080000	1.021342
595083584	0.684561
595087232	0.269952
595090816	-0.12606
595094400	-0.41775
595097984	-0.54227
595101568	-0.47052
595105216	-0.23012
595108800	0.112916
595112384	0.474287
595116032	0.765709
595119616	0.930614
595123200	0.92942	
595126784	0.781579
595130368	0.542375
595134016	0.284552
595137600	0.084793
595141184	0.008854
595144832	0.08885	
595148416	0.296369
595152000	0.59159	
595155584	0.883809
595159168	1.097781
595162816	1.171669
595166400	1.086065
595169984	0.844998
595173632	0.491881
595177216	0.10485	
595180800	-0.22652
595184384	-0.43270
595187968	-0.47069
595191616	-0.34206
595195200	-0.08330
595198784	0.239626
595202432	0.539639
595206016	0.757491
595209600	0.854473
595213184	0.805286
595216768	0.646443
595220416	0.437089
595224000	0.237653
595227584	0.11948	
595231232	0.122989
595234816	0.250436
595238400	0.480949
595241984	0.740808
595245568	0.962561
595249216	1.091175
595252800	1.090536
595256384	0.94236	
595260032	0.666283
595263616	0.332104
595267200	0.001669
595270784	-0.25538
595274368	-0.37914
595278016	-0.35276
595281600	-0.19106
595285184	0.062886
595288832	0.338833
595292416	0.577715
595296000	0.723474
595299584	0.755911
595303168	0.690094
595306816	0.550755
595310400	0.388717
595313984	0.262586
595317632	0.216471
595321216	0.268276
595324800	0.412246
595328384	0.628201
595331968	0.830234
595335616	0.97941	
595339200	1.036401
595342784	0.97167	
595346432	0.794293
595350016	0.531619
595353600	0.239056
595357184	-0.02599
595360768	-0.20938
595364416	-0.27239
595368000	-0.21236
595371584	-0.05540
595375232	0.160302
595378816	0.380395
595382400	0.557937
595385984	0.648941
595389568	0.655986
595393216	0.584929
595396800	0.469223
595400384	0.355403
595404032	0.284796
595407616	0.285914
595411200	0.357746
595414784	0.494583
595418368	0.654482
595422016	0.794245
595425600	0.883365
595429184	0.887692
595432832	0.793844
595436416	0.623617
595440000	0.399949
595443584	0.166431
595447168	-0.02696
595450816	-0.14748
595454400	-0.16890
595457984	-0.09898
595461632	0.039244
595465216	0.209688
595468800	0.373666
595472384	0.496416
595475968	0.559753
595479616	0.557015
595483200	0.503552
595486784	0.426674
595490432	0.356723
595494016	0.320649
595497600	0.333083
595501184	0.402218
595504768	0.504814
595508416	0.61521	
595512000	0.706627
595515584	0.748714
595519232	0.727345
595522816	0.643459
595526400	0.504043
595529984	0.334462
595533568	0.160713
595537216	0.01884	
595540800	-0.06188
595544384	-0.06944
595548032	-0.00855
595551616	0.100967
595555200	0.235304
595558784	0.364752
595562368	0.472235
595566016	0.542162
595569600	0.554321
595573184	0.530222
595576832	0.480696
595580416	0.424725
595584000	0.389971
595587584	0.38747	
595591168	0.419204
595594816	0.478876
595598400	0.54545	
595601984	0.605927
595605632	0.642904
595609216	0.63785	
595612800	0.586706
